profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,normalized_abs_error,k_max_budget,time_to_budget_seconds
realistic,1,0.3,0.3602728053304129,5,128,CABIQAE_latentt,0.3961285897544381,0.035855784424025205,0.09952398264182388,1,0.01635832194352762
realistic,1,0.3,0.3602728053304129,5,128,BIQAE,0.3128329800121092,0.04743982531830371,0.13167750831150235,1,0.012564632411228986
realistic,1,0.3,0.3602728053304129,5,128,BAE,0.17597221457831802,0.18430059075209487,0.5115584302375235,1,0.40444101574014707
realistic,1,0.3,0.3602728053304129,5,253,CABIQAE_latentt,0.3961285897544381,0.035855784424025205,0.09952398264182388,1,0.03233324571650381
realistic,1,0.3,0.3602728053304129,5,253,BIQAE,0.3128329800121092,0.04743982531830371,0.13167750831150235,1,0.024834781250319793
realistic,1,0.3,0.3602728053304129,5,253,BAE,0.17597221457831802,0.18430059075209487,0.5115584302375235,1,0.7994029451738844
realistic,1,0.3,0.3602728053304129,5,499,CABIQAE_latentt,0.3961285897544381,0.035855784424025205,0.09952398264182388,1,0.06377189570172095
realistic,1,0.3,0.3602728053304129,5,499,BIQAE,0.30880613959632497,0.051466665734087924,0.14285470613549886,1,0.0489824341656505
realistic,1,0.3,0.3602728053304129,5,499,BAE,0.17597221457831802,0.18430059075209487,0.5115584302375235,1,1.5766880222994795
realistic,1,0.3,0.3602728053304129,5,986,CABIQAE_latentt,0.35170002905748077,0.008572776272932126,0.023795235571749226,3,0.1260101987212362
realistic,1,0.3,0.3602728053304129,5,986,BIQAE,0.30880613959632497,0.051466665734087924,0.14285470613549886,1,0.09678693404274828
realistic,1,0.3,0.3602728053304129,5,986,BAE,0.32625108815117254,0.03402171717924035,0.09443320915670668,5,3.1154596993733206
realistic,1,0.3,0.3602728053304129,5,1947,CABIQAE_latentt,0.3679455130188408,0.007672707688427927,0.021296938250421494,9,0.24882541268787717
realistic,1,0.3,0.3602728053304129,5,1947,BIQAE,0.32752385015900953,0.03274895517140336,0.09090043624405313,7,0.19111983831767843
realistic,1,0.3,0.3602728053304129,5,1947,BAE,0.3432402059035337,0.01703259942687918,0.04727695006360046,7,6.151927012859893
realistic,1,0.3,0.3602728053304129,5,3846,CABIQAE_latentt,0.36612699260063397,0.005854187270221078,0.0162493176937185,9,0.49151645464693144
realistic,1,0.3,0.3602728053304129,5,3846,BIQAE,0.32752385015900953,0.03274895517140336,0.09090043624405313,7,0.37752793948114594
realistic,1,0.3,0.3602728053304129,5,3846,BAE,0.3433974436079491,0.01687536172246379,0.046840509393949625,9,12.152188644817231
realistic,1,0.3,0.3602728053304129,5,7595,CABIQAE_latentt,0.35949254658506413,0.0007802587453487608,0.002165744218837642,9,0.9706363684460333
realistic,1,0.3,0.3602728053304129,5,7595,BIQAE,0.3234531905100633,0.03681961482034957,0.1021992619914279,35,0.7455342434631573
realistic,1,0.3,0.3602728053304129,5,7595,BAE,0.35895661412176094,0.0013161912086519512,0.003653318233233973,11,23.99788683239388
realistic,1,0.3,0.3602728053304129,5,15000,CABIQAE_latentt,0.3590884909552936,0.0011843143751192886,0.0032872710834589134,9,1.9169908527571429
realistic,1,0.3,0.3602728053304129,5,15000,BIQAE,0.3234531905100633,0.03681961482034957,0.1021992619914279,35,1.4724178606908969
realistic,1,0.3,0.3602728053304129,5,15000,BAE,0.35583965290776187,0.004433152422651021,0.012304987656743325,11,47.39543153204848
realistic,1,0.3,0.3602728053304129,6,128,CABIQAE_latentt,0.40411929174897476,0.04384648641856187,0.12170356954461062,1,0.015877377397336117
realistic,1,0.3,0.3602728053304129,6,128,BIQAE,0.3502678006193034,0.010005004711109489,0.02777063537153106,1,0.013119619418821721
realistic,1,0.3,0.3602728053304129,6,128,BAE,0.4328324643169259,0.07255965898651301,0.20140198736334594,1,0.39978461103023466
realistic,1,0.3,0.3602728053304129,6,253,CABIQAE_latentt,0.40411929174897476,0.04384648641856187,0.12170356954461062,1,0.03138262876192217
realistic,1,0.3,0.3602728053304129,6,253,BIQAE,0.3502678006193034,0.010005004711109489,0.02777063537153106,1,0.02593174775751481
realistic,1,0.3,0.3602728053304129,6,253,BAE,0.4328324643169259,0.07255965898651301,0.20140198736334594,1,0.7901992702394481
realistic,1,0.3,0.3602728053304129,6,499,CABIQAE_latentt,0.40411929174897476,0.04384648641856187,0.12170356954461062,1,0.06189696344742752
realistic,1,0.3,0.3602728053304129,6,499,BIQAE,0.36616473188948184,0.00589192655906895,0.01635406967135739,1,0.05114601632806281
realistic,1,0.3,0.3602728053304129,6,499,BAE,0.3477216643709566,0.012551140959456308,0.034837880555390305,3,1.5585353195631804
realistic,1,0.3,0.3602728053304129,6,986,CABIQAE_latentt,0.3446843883080348,0.01558841702237812,0.04326836994560745,3,0.12230542276385477
realistic,1,0.3,0.3602728053304129,6,986,BIQAE,0.3880910796526412,0.02781827432222833,0.07721447167436264,3,0.10106206833561109
realistic,1,0.3,0.3602728053304129,6,986,BAE,0.3477216643709566,0.012551140959456308,0.034837880555390305,3,3.079590831842276
