rep,T_noise,a_true,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,final_coverage,runtime_seconds,k_max
1,inf,0.8,CABIQAE_latentt,274320,0.8000040821773386,4.082177338604609e-06,5.102721673255761e-06,1.0,0.2634871999907773,4863
2,inf,0.8,BAE,28700,0.8000793132515946,7.931325159460378e-05,9.914156449325473e-05,1.0,0.7072795999993104,195
2,inf,0.8,BIQAE,589480,0.799995353941059,4.646058941015774e-06,5.807573676269717e-06,1.0,0.6383721999882255,9705
2,inf,0.8,CABIQAE_latentt,226440,0.8000050184585654,5.018458565375639e-06,6.273073206719548e-06,1.0,0.2389930000063032,3763
3,inf,0.8,BAE,30420,0.7999072667144365,9.273328556358429e-05,0.00011591660695448036,1.0,0.753819100005785,199
3,inf,0.8,BIQAE,298840,0.7999979658665342,2.0341334658890986e-06,2.5426668323613733e-06,1.0,0.3916257999953814,5053
3,inf,0.8,CABIQAE_latentt,217880,0.8000379613708535,3.796137085343432e-05,4.74517135667929e-05,1.0,0.26741559998481534,3691
4,inf,0.8,BAE,27420,0.8001205971634421,0.00012059716344203775,0.00015074645430254718,1.0,0.7181372000195552,199
4,inf,0.8,BIQAE,418800,0.8000050767112741,5.076711274032419e-06,6.345889092540524e-06,1.0,0.5495306999946479,7127
4,inf,0.8,CABIQAE_latentt,444520,0.7999919482307942,8.05176920581907e-06,1.0064711507273838e-05,1.0,0.415450200001942,7691
