rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
3,5.0,0.2,3200,CABIQAE_latentt,0.2089030172373327,0.008903017237332694,0.04451508618666347,25580
3,5.0,0.2,6400,BAE,0.20874868807630675,0.008748688076306743,0.043743440381533716,25580
3,5.0,0.2,6400,BIQAE,0.20066838480732724,0.0006683848073272269,0.0033419240366361347,25580
3,5.0,0.2,6400,CABIQAE_latentt,0.2011012630731408,0.0011012630731407902,0.005506315365703951,25580
3,5.0,0.2,12800,BAE,0.20406056463727346,0.004060564637273445,0.020302823186367225,25580
3,5.0,0.2,12800,BIQAE,0.19993934906342697,6.065093657303677e-05,0.00030325468286518387,25580
3,5.0,0.2,12800,CABIQAE_latentt,0.1967742519084128,0.0032257480915872105,0.016128740457936053,25580
4,5.0,0.2,200,BAE,0.1940407925678946,0.005959207432105401,0.029796037160527006,25460
4,5.0,0.2,200,BIQAE,0.28648944047747793,0.08648944047747792,0.4324472023873896,25460
4,5.0,0.2,200,CABIQAE_latentt,0.23117731179559636,0.031177311795596352,0.15588655897798176,25460
4,5.0,0.2,400,BAE,0.1788931775646882,0.02110682243531181,0.10553411217655906,25460
4,5.0,0.2,400,BIQAE,0.28648944047747793,0.08648944047747792,0.4324472023873896,25460
4,5.0,0.2,400,CABIQAE_latentt,0.20860624036917058,0.00860624036917057,0.04303120184585285,25460
4,5.0,0.2,800,BAE,0.1754098007070862,0.02459019929291381,0.12295099646456906,25460
4,5.0,0.2,800,BIQAE,0.22951872849629235,0.029518728496292335,0.14759364248146167,25460
