T,nll,delta_nll
435.8760951189,9621.4764244996,550.8550992836
437.1214017522,9617.4509658882,546.8296406721
438.3667083855,9613.4550859991,542.8337607831
439.6120150188,9609.4885261039,538.8672008879
440.8573216521,9605.5510303360,534.9297051200
442.1026282854,9601.6423456523,531.0210204363
443.3479349186,9597.7622217947,527.1408965787
444.5932415519,9593.9104112534,523.2890860373
445.8385481852,9590.0866692293,519.4653440133
447.0838548185,9586.2907535986,515.6694283825
448.3291614518,9582.5224248763,511.9010996602
449.5744680851,9578.7814461818,508.1601209658
450.8197747184,9575.0675832040,504.4462579880
452.0650813517,9571.3806041675,500.7592789515
453.3103879850,9567.7202797987,497.0989545827
454.5556946183,9564.0863832936,493.4650580776
455.8010012516,9560.4786902845,489.8573650685
457.0463078849,9556.8969788089,486.2756535928
458.2916145181,9553.3410292772,482.7197040612
459.5369211514,9549.8106244428,479.1892992267
460.7822277847,9546.3055493705,475.6842241544
462.0275344180,9542.8255914073,472.2042661912
463.2728410513,9539.3705401526,468.7492149365
464.5181476846,9535.9401874290,465.3188622129
465.7634543179,9532.5343272538,461.9130020377
467.0087609512,9529.1527558107,458.5314305947
468.2540675845,9525.7952714222,455.1739462062
469.4993742178,9522.4616745219,451.8403493058
470.7446808511,9519.1517676277,448.5304424117
471.9899874844,9515.8653553156,445.2440300996
473.2352941176,9512.6022441930,441.9809189769
474.4806007509,9509.3622428732,438.7409176572
475.7259073842,9506.1451619502,435.5238367341
476.9712140175,9502.9508139734,432.3294887573
478.2165206508,9499.7790134232,429.1576882072
479.4618272841,9496.6295766867,426.0082514707
480.7071339174,9493.5023220339,422.8809968179
481.9524405507,9490.3970695938,419.7757443778
483.1977471840,9487.3136413319,416.6923161158
484.4430538173,9484.2518610265,413.6305358104
485.6883604506,9481.2115542469,410.5902290308
486.9336670839,9478.1925483309,407.5712231148
488.1789737171,9475.1946723630,404.5733471469
489.4242803504,9472.2177571528,401.5964319368
490.6695869837,9469.2616352140,398.6403099980
491.9148936170,9466.3261407433,395.7048155273
493.1602002503,9463.4111095996,392.7897843836
494.4055068836,9460.5163792843,389.8950540682
495.6508135169,9457.6417889205,387.0204637044
496.8961201502,9454.7871792339,384.1658540179
498.1414267835,9451.9523925331,381.3310673171
499.3867334168,9449.1372726905,378.5159474745
500.6320400501,9446.3416651232,375.7203399072
501.8773466834,9443.5654167747,372.9440915587
503.1226533166,9440.8083760964,370.1870508803
504.3679599499,9438.0703930292,367.4490678132
505.6132665832,9435.3513189863,364.7299937703
506.8585732165,9432.6510068352,362.0296816191
508.1038798498,9429.9693108802,359.3479856642
509.3491864831,9427.3060868457,356.6847616297
510.5944931164,9424.6611918593,354.0398666432
511.8397997497,9422.0344844347,351.4131592186
513.0851063830,9419.4258244559,348.8044992399
514.3304130163,9416.8350731609,346.2137479449
515.5757196496,9414.2620931255,343.6407679095
516.8210262829,9411.7067482479,341.0854230319
518.0663329161,9409.1689037329,338.5475785169
519.3116395494,9406.6484260770,336.0271008609
520.5569461827,9404.1451830529,333.5238578369
521.8022528160,9401.6590436953,331.0377184793
523.0475594493,9399.1898782854,328.5685530693
524.2928660826,9396.7375583369,326.1162331209
525.5381727159,9394.3019565821,323.6806313660
526.7834793492,9391.8829469570,321.2616217409
528.0287859825,9389.4804045881,318.8590793721
529.2740926158,9387.0942057785,316.4728805625
530.5193992491,9384.7242279944,314.1029027784
531.7647058824,9382.3703498518,311.7490246357
533.0100125156,9380.0324511032,309.4111258872
534.2553191489,9377.7104126252,307.0890874092
535.5006257822,9375.4041164050,304.7827911890
536.7459324155,9373.1134455282,302.4921203122
537.9912390488,9370.8382841663,300.2169589503
539.2365456821,9368.5785175645,297.9571923484
540.4818523154,9366.3340320293,295.7127068133
541.7271589487,9364.1047149171,293.4833897010
542.9724655820,9361.8904546216,291.2691294056
544.2177722153,9359.6911405631,289.0698153471
545.4630788486,9357.5066631763,286.8853379603
546.7083854819,9355.3369138993,284.7155886833
547.9536921151,9353.1817851623,282.5604599463
549.1989987484,9351.0411703767,280.4198451607
550.4443053817,9348.9149639241,278.2936387081
551.6896120150,9346.8030611457,276.1817359296
552.9349186483,9344.7053583313,274.0840331153
554.1802252816,9342.6217527096,272.0004274936
555.4255319149,9340.5521424370,269.9308172210
556.6708385482,9338.4964265880,267.8751013720
557.9161451815,9336.4545051450,265.8331799289
559.1614518148,9334.4262789881,263.8049537720
560.4067584481,9332.4116498857,261.7903246697
561.6520650814,9330.4105204847,259.7891952687
562.8973717146,9328.4227943007,257.8014690847
564.1426783479,9326.4483757089,255.8270504929
565.3879849812,9324.4871699347,253.8658447187
566.6332916145,9322.5390830443,251.9177578283
567.8785982478,9320.6040219359,249.9826967199
569.1239048811,9318.6818943307,248.0605691147
570.3692115144,9316.7726087639,246.1512835479
571.6145181477,9314.8760745761,244.2547493601
572.8598247810,9312.9922019047,242.3708766887
574.1051314143,9311.1209016753,240.4995764592
575.3504380476,9309.2620855932,238.6407603772
576.5957446809,9307.4156661356,236.7943409195
577.8410513141,9305.5815565427,234.9602313266
579.0863579474,9303.7596708101,233.1383455940
580.3316645807,9301.9499236806,231.3285984646
581.5769712140,9300.1522306366,229.5309054206
582.8222778473,9298.3665078919,227.7451826759
584.0675844806,9296.5926723841,225.9713471681
585.3128911139,9294.8306417674,224.2093165514
586.5581977472,9293.0803344045,222.4590091885
587.8035043805,9291.3416693597,220.7203441437
589.0488110138,9289.6145663913,218.9932411752
590.2941176471,9287.8989459443,217.2776207282
591.5394242804,9286.1947291435,215.5734039275
592.7847309136,9284.5018377865,213.8805125705
594.0300375469,9282.8201943363,212.1988691203
595.2753441802,9281.1497219149,210.5283966989
596.5206508135,9279.4903442962,208.8690190802
597.7659574468,9277.8419858994,207.2206606834
599.0112640801,9276.2045717824,205.5832465663
600.2565707134,9274.5780276350,203.9567024190
601.5018773467,9272.9622797730,202.3409545569
602.7471839800,9271.3572551310,200.7359299150
603.9924906133,9269.7628812569,199.1415560409
605.2377972466,9268.1790863050,197.5577610890
606.4831038798,9266.6057990303,195.9844738142
607.7284105131,9265.0429487820,194.4216235659
608.9737171464,9263.4904654979,192.8691402818
610.2190237797,9261.9482796981,191.3269544820
611.4643304130,9260.4163224794,189.7949972633
612.7096370463,9258.8945255092,188.2732002932
613.9549436796,9257.3828210202,186.7614958041
615.2002503129,9255.8811418041,185.2598165881
616.4455569462,9254.3894212067,183.7680959906
617.6908635795,9252.9075931217,182.2862679057
618.9361702128,9251.4355919859,180.8142667698
620.1814768461,9249.9733527731,179.3520275570
621.4267834793,9248.5208109893,177.8994857732
622.6720901126,9247.0779026671,176.4565774511
623.9173967459,9245.6445643609,175.0232391449
625.1627033792,9244.2207331411,173.5994079250
626.4080100125,9242.8063465894,172.1850213734
627.6533166458,9241.4013427939,170.7800175779
628.8986232791,9240.0056603438,169.3843351278
630.1439299124,9238.6192383247,167.9979131086
631.3892365457,9237.2420163134,166.6206910974
632.6345431790,9235.8739343737,165.2526091577
633.8798498123,9234.5149330510,163.8936078350
635.1251564456,9233.1649533681,162.5436281521
636.3704630788,9231.8239368203,161.2026116042
637.6157697121,9230.4918253706,159.8705001546
638.8610763454,9229.1685614458,158.5472362298
640.1063829787,9227.8540879315,157.2327627155
641.3516896120,9226.5483481676,155.9270229516
642.5969962453,9225.2512859445,154.6299607284
643.8423028786,9223.9628454979,153.3415202819
645.0876095119,9222.6829715055,152.0616462895
646.3329161452,9221.4116090820,150.7902838660
647.5782227785,9220.1487037751,149.5273785590
648.8235294118,9218.8942015616,148.2728763455
650.0688360451,9217.6480488430,147.0267236270
651.3141426783,9216.4101924418,145.7888672258
652.5594493116,9215.1805795971,144.5592543810
653.8047559449,9213.9591579608,143.3378327448
655.0500625782,9212.7458755940,142.1245503780
656.2953692115,9211.5406809625,140.9193557465
657.5406758448,9210.3435229335,139.7221977175
658.7859824781,9209.1543507717,138.5330255557
660.0312891114,9207.9731141354,137.3517889194
661.2765957447,9206.7997630729,136.1784378568
662.5219023780,9205.6342480188,135.0129228028
663.7672090113,9204.4765197906,133.8551945745
665.0125156446,9203.3265295847,132.7052043687
666.2578222778,9202.1842289733,131.5629037573
667.5031289111,9201.0495699007,130.4282446846
668.7484355444,9199.9225046796,129.3011794636
669.9937421777,9198.8029859883,128.1816607722
671.2390488110,9197.6909668665,127.0696416505
672.4843554443,9196.5864007128,125.9650754968
673.7296620776,9195.4892412807,124.8679160647
674.9749687109,9194.3994426757,123.7781174597
676.2202753442,9193.3169593520,122.6956341360
677.4655819775,9192.2417461090,121.6204208930
678.7108886108,9191.1737580888,120.5524328728
679.9561952441,9190.1129507722,119.4916255562
681.2015018773,9189.0592799764,118.4379547604
682.4468085106,9188.0127018513,117.3913766353
683.6921151439,9186.9731728769,116.3518476609
684.9374217772,9185.9406498602,115.3193246441
686.1827284105,9184.9150899318,114.2937647158
687.4280350438,9183.8964505438,113.2751253278
688.6733416771,9182.8846894660,112.2633642500
689.9186483104,9181.8797647838,111.2584395678
691.1639549437,9180.8816348947,110.2603096786
692.4092615770,9179.8902585059,109.2689332898
693.6545682103,9178.9055946313,108.2842694153
694.8998748436,9177.9276025891,107.3062773730
696.1451814768,9176.9562419984,106.3349167824
697.3904881101,9175.9914727773,105.3701475612
698.6357947434,9175.0332551395,104.4119299235
699.8811013767,9174.0815495923,103.4602243763
701.1264080100,9173.1363169335,102.5149917175
702.3717146433,9172.1975182490,101.5761930330
703.6170212766,9171.2651149104,100.6437896943
704.8623279099,9170.3390685720,99.7177433560
706.1076345432,9169.4193411689,98.7980159529
707.3529411765,9168.5058949141,97.8845696980
708.5982478098,9167.5986922961,96.9773670800
709.8435544431,9166.6976960766,96.0763708606
711.0888610763,9165.8028692882,95.1815440721
712.3341677096,9164.9141752315,94.2928500154
713.5794743429,9164.0315774734,93.4102522573
714.8247809762,9163.1550398443,92.5337146283
716.0700876095,9162.2845264362,91.6632012201
717.3153942428,9161.4200015998,90.7986763838
718.5607008761,9160.5614299431,89.9401047270
719.8060075094,9159.7087763282,89.0874511122
721.0513141427,9158.8620058700,88.2406806540
722.2966207760,9158.0210839334,87.3997587174
723.5419274093,9157.1859761313,86.5646509153
