a_true,abs_error,algorithm,algorithm_key,budget,epsilon_target,estimate,normalized_abs_error,normalized_sq_error,objective_ry_offset,phase,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index
0.49216902723816036,3.7067727424178187e-06,CABIQAE,cabiqae_latentt,134240,0.0001,0.4921727340109028,7.531503482083429e-06,5.6723544700634816e-11,0.44,1_iterative,134240.0,1410197,ideal_simulation_v2,13.638374310001382,100000
0.49216902723816036,0.0009867032391719377,CABIQAE,cabiqae_latentt,2310,0.005,0.4911823239989884,0.002004805634984569,4.019245634065881e-06,0.44,1_iterative,2310.0,6310200,ideal_simulation_v2,0.25914578400079336,5000000
0.49216902723816036,4.6178134404106785e-06,CABIQAE,cabiqae_latentt,10370,0.001,0.49216440942471995,9.382576279380785e-06,8.803273763839897e-11,0.44,1_iterative,10370.0,2310203,ideal_simulation_v2,1.027128792999065,1000000
0.49216902723816036,0.02508481318137057,CABIQAE,cabiqae_latentt,220,0.05,0.4670842140567898,0.05096788256289854,0.002597725052945417,0.44,1_iterative,220.0,51310206,ideal_simulation_v2,0.049473311000838294,50000000
0.49216902723816036,0.008080150851041634,CABIQAE,cabiqae_latentt,870,0.01,0.4840888763871187,0.016417430605871208,0.0002695320276985966,0.44,1_iterative,870.0,11310209,ideal_simulation_v2,0.11083875300028012,10000000
0.6692728078979026,2.8599106624671577e-05,CABIQAE,cabiqae_latentt,96400,0.0001,0.6692442087912779,4.273161300919664e-05,1.8259907503677437e-09,0.63,1_iterative,96400.0,1510212,ideal_simulation_v2,10.838109099000576,100000
0.6692728078979026,0.0006074948587826423,CABIQAE,cabiqae_latentt,1650,0.005,0.6698803027566852,0.0009076939203472249,8.239082530353142e-07,0.63,1_iterative,1650.0,6410215,ideal_simulation_v2,0.23204384800010303,5000000
0.6692728078979026,0.0003697878606435667,CABIQAE,cabiqae_latentt,12960,0.001,0.668903020037259,0.0005525218659413663,3.0528041234332914e-07,0.63,1_iterative,12960.0,2410218,ideal_simulation_v2,1.2138287650013808,1000000
0.6692728078979026,0.002724248385975403,CABIQAE,cabiqae_latentt,260,0.05,0.6665485595119272,0.004070460287385509,1.656864695118252e-05,0.63,1_iterative,260.0,51410221,ideal_simulation_v2,0.05098942599943257,50000000
0.6692728078979026,0.0033355467577415032,CABIQAE,cabiqae_latentt,800,0.01,0.6726083546556441,0.004983837260948962,2.483863384362325e-05,0.63,1_iterative,800.0,11410224,ideal_simulation_v2,0.1041827689987258,10000000
0.530324472540106,0.0033072677134119433,CABIQAE,cabiqae_latentt,147850,0.0001,0.5336317402535179,0.006236309815330708,3.889156011279013e-05,0.48,1_iterative,147850.0,1610227,ideal_simulation_v2,14.711384748001365,100000
0.530324472540106,0.0023253346477116743,CABIQAE,cabiqae_latentt,1960,0.005,0.5326498071878176,0.0043847394719952705,1.9225940237273364e-05,0.48,1_iterative,1960.0,6510230,ideal_simulation_v2,0.23046136700031639,5000000
0.530324472540106,5.84978700006733e-05,CABIQAE,cabiqae_latentt,9910,0.001,0.5302659746701053,0.00011030580904645954,1.2167371509393996e-08,0.48,1_iterative,9910.0,2510233,ideal_simulation_v2,1.2715491990002192,1000000
0.530324472540106,0.00257143006696392,CABIQAE,cabiqae_latentt,160,0.05,0.5328959026070699,0.004848786356487546,2.351072913085977e-05,0.48,1_iterative,160.0,51510236,ideal_simulation_v2,0.044234945000425796,50000000
0.530324472540106,0.006915602101820961,CABIQAE,cabiqae_latentt,990,0.01,0.5372400746419269,0.013040322406200039,0.00017005000845764278,0.48,1_iterative,990.0,11510239,ideal_simulation_v2,0.1305735679998179,10000000
0.6692728078979026,1.850402608283286e-05,CABIQAE,cabiqae_latentt,99800,0.0001,0.6692543038718197,2.7647957401633512e-05,7.644095484825413e-10,0.63,1_iterative,99800.0,1710242,ideal_simulation_v2,9.911956007001208,100000
0.6692728078979026,0.0006887095712476698,CABIQAE,cabiqae_latentt,1680,0.005,0.6699615174691502,0.0010290416151984654,1.0589266458102666e-06,0.63,1_iterative,1680.0,6610245,ideal_simulation_v2,0.21487831800004642,5000000
0.6692728078979026,0.00016018947267915085,CABIQAE,cabiqae_latentt,10040,0.001,0.6694329973705817,0.0002393485448516649,5.728772592260945e-08,0.63,1_iterative,10040.0,2610248,ideal_simulation_v2,1.1744256880010653,1000000
0.6692728078979026,0.01367960656804057,CABIQAE,cabiqae_latentt,230,0.05,0.655593201329862,0.02043950748724785,0.0004177734663212609,0.63,1_iterative,230.0,51610251,ideal_simulation_v2,0.05304739099847211,50000000
0.6692728078979026,0.0031341339495748466,CABIQAE,cabiqae_latentt,920,0.01,0.6724069418474774,0.004682894497714239,2.1929500876722293e-05,0.63,1_iterative,920.0,11610254,ideal_simulation_v2,0.13209811299930152,10000000
0.7041348196258655,3.379063941821858e-05,CABIQAE,cabiqae_latentt,139210,0.0001,0.7041686102652838,4.798887723827217e-05,2.302932338589957e-09,0.67,1_iterative,139210.0,1810257,ideal_simulation_v2,14.188184980001097,100000
0.7041348196258655,8.977825116074367e-05,CABIQAE,cabiqae_latentt,1790,0.005,0.7042245978770263,0.0001275015077488234,1.625663447822327e-08,0.67,1_iterative,1790.0,6710260,ideal_simulation_v2,0.4105318959991564,5000000
