a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,estimate,grover_power,normalized_abs_error,query_budget_actual,repetition,replay_probability_extrapolated,replay_probability_source,run_kind,runtime_wall_seconds
0.3602728053304129,0.02658549189302134,BAE,bae,1,1024,0.38685829722343423,0,0.07379266905432758,256.0,57,True,measured,hardware_replay,0.12756854407599647
0.3602728053304129,0.02658549189302134,BAE,bae,1,2048,0.38685829722343423,0,0.07379266905432758,256.0,57,True,measured,hardware_replay,0.12756854407599647
0.3602728053304129,0.011772607226559872,BAE,bae,15,4096,0.348500198103853,7,0.03267692440944299,4096.0,57,True,measured,hardware_replay,2.0410967052159434
0.3602728053304129,0.011772607226559872,BAE,bae,15,8192,0.348500198103853,7,0.03267692440944299,4096.0,57,True,measured,hardware_replay,2.0410967052159434
0.3602728053304129,0.0008673033925427065,BAE,bae,41,16384,0.3611401087229556,20,0.002407351817041218,14592.0,57,True,measured,hardware_replay,7.271407012331799
0.3602728053304129,0.0007672744321481351,BAE,bae,33,32768,0.36104007976256103,16,0.0021297039931849793,23040.0,57,True,measured,hardware_replay,11.481168966839682
0.3602728053304129,0.0008442216177302342,BAE,bae,33,65536,0.3611170269481431,16,0.002343284325765257,65536.0,57,True,measured,hardware_replay,32.657547283455095
0.3602728053304129,0.021595637799776857,CABIQAE,cabiqae_latentt,1,256,0.33867716753063604,0,0.0599424588263638,256.0,56,True,measured,hardware_replay,0.0067085845107415125
0.3602728053304129,0.026929625498946286,CABIQAE,cabiqae_latentt,1,512,0.3333431798314666,0,0.07474787189182548,512.0,56,True,measured,hardware_replay,0.013417169021483025
0.3602728053304129,0.026929625498946286,CABIQAE,cabiqae_latentt,1,1024,0.3333431798314666,0,0.07474787189182548,512.0,56,True,measured,hardware_replay,0.013417169021483025
0.3602728053304129,0.026929625498946286,CABIQAE,cabiqae_latentt,1,2048,0.3333431798314666,0,0.07474787189182548,512.0,56,True,measured,hardware_replay,0.013417169021483025
0.3602728053304129,0.0007113071976518337,CABIQAE,cabiqae_latentt,9,4096,0.35956149813276106,4,0.001974357173585391,2816.0,56,True,measured,hardware_replay,0.07379442961815665
