profile,phase,repetition,scenario_id,algorithm,algorithm_key,epsilon_target,objective_ry_offset,a_true,final_estimate,abs_error,rel_error,num_queries,elapsed_runtime_seconds,confidence_interval,max_queries_bae_target,n_shots,bae_kind,noise_profile
realistic,iterative,7,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.19210982284992667,0.00023371774268171608,0.001215105752767336,9856,2.0453527999925427,"(0.1872311905164, 0.19698845518345337)",nan,,hardware,realistic
realistic,iterative,7,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18633702747011924,0.006006513122489149,0.031228046982930368,5888,1.1910135000071023,"(0.17917909298791176, 0.1934949619523267)",nan,,hardware,realistic
realistic,iterative,7,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.18850934744056932,0.0038341931520390615,0.019934088455614125,4096,0.9276954000233673,"(0.17884057746898946, 0.1981781174121492)",nan,,hardware,realistic
realistic,iterative,8,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.19041411005542824,0.0019294305371801435,0.010031168872297914,409856,99.19221430001198,"(0.19031429413067896, 0.1905139259801775)",nan,,hardware,realistic
realistic,iterative,8,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.18947488442936972,0.00286865616323867,0.014914231870747367,77568,15.798821799980942,"(0.18847686863867846, 0.19047290022006094)",nan,,hardware,realistic
realistic,iterative,8,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.1905233149846085,0.0018202256079998813,0.00946340907727801,30592,5.044706300017424,"(0.18808994640097704, 0.19295668356824)",nan,,hardware,realistic
realistic,iterative,8,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.19293332778798283,0.0005897871953744471,0.003066321819580315,13312,2.1842623999982607,"(0.1881945634276114, 0.19767209214835427)",nan,,hardware,realistic
realistic,iterative,8,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18873785013800787,0.0036056904546005186,0.01874609588391388,5376,1.1759931000124197,"(0.1814746297622773, 0.19600107051373844)",nan,,hardware,realistic
realistic,iterative,8,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.1891509880554153,0.003192552537193083,0.016598179108884357,3456,0.7514886999852024,"(0.17944082000802528, 0.19886115610280536)",nan,,hardware,realistic
realistic,iterative,9,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.18980993681705954,0.0025336037755488428,0.013172284173114609,390656,95.48020739998901,"(0.1897103097446028, 0.18990956388951627)",nan,,hardware,realistic
realistic,iterative,9,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.18806954276596505,0.004273997826643339,0.022220646523793817,65408,13.427850700012641,"(0.1870748402723123, 0.18906424525961782)",nan,,hardware,realistic
realistic,iterative,9,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.1923372805373855,6.260055222889749e-06,3.254622018292159e-05,28416,5.729440900002373,"(0.1898636028307474, 0.19481095824402359)",nan,,hardware,realistic
realistic,iterative,9,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.19218968190289515,0.00015385868971323768,0.0007999160732884541,9856,1.985755000001518,"(0.18735537294698826, 0.19702399085880207)",nan,,hardware,realistic
realistic,iterative,9,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.1883797561681375,0.003963784424470873,0.020607837477975583,6016,1.2855241000070237,"(0.1810367017809965, 0.1957228105552785)",nan,,hardware,realistic
realistic,iterative,9,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.19227892974075972,6.461085184866766e-05,0.0003359138115561475,3968,0.8105578999966383,"(0.18288812357064607, 0.20166973591087334)",nan,,hardware,realistic
realistic,iterative,10,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.18608393831176487,0.006259602280843518,0.032543865323253124,181376,45.91873390000546,"(0.18598402144021806, 0.18618385518331168)",nan,,hardware,realistic
realistic,iterative,10,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.18782389418605705,0.004519646406551336,0.02349778106728385,52736,11.213816500006942,"(0.18683352234886078, 0.18881426602325332)",nan,,hardware,realistic
realistic,iterative,10,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.1884176829795171,0.003925857613091277,0.020410654815835,28288,5.642603699991014,"(0.18599057549648085, 0.1908447904625534)",nan,,hardware,realistic
realistic,iterative,10,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.1905885763374076,0.001754964255200775,0.009124113291217106,9728,1.9243102000036743,"(0.18563103567313993, 0.1955461170016753)",nan,,hardware,realistic
realistic,iterative,10,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18864631819911543,0.0036972223934929604,0.019221973257338706,5376,1.1555700000026263,"(0.1816163527497783, 0.19567628364845255)",nan,,hardware,realistic
realistic,iterative,10,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.19110564994282045,0.0012378906497879372,0.006435831668555177,3328,0.6879497999907471,"(0.18136379991694024, 0.20084749996870066)",nan,,hardware,realistic
realistic,iterative,11,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.19102751388531553,0.001316026707292861,0.006842063441476625,410496,99.23763590000453,"(0.19092782778169406, 0.191127199988937)",nan,,hardware,realistic
realistic,iterative,11,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.1891228327105366,0.003220707882071794,0.016744559615305132,77056,15.942103999987012,"(0.18813021465134025, 0.19011545076973294)",nan,,hardware,realistic
