profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,14,0.2820074732015594,0.41207121792638896,34.39380013382334,0.0,1.0,0.41207121792638896,0.4115,1.0
realistic,14,0.2820074732015594,0.41207121792638896,34.39380013382334,1.0,3.0,0.7529092453603632,0.7326666666666667,0.9199610964602997
realistic,14,0.2820074732015594,0.41207121792638896,34.39380013382334,2.0,5.0,0.1133960581456618,0.16716666666666666,0.8609155192182075
realistic,14,0.2820074732015594,0.41207121792638896,34.39380013382334,4.0,9.0,0.00010195847087993623,0.11566666666666667,0.7688234427918741
realistic,14,0.2820074732015594,0.41207121792638896,34.39380013382334,8.0,17.0,0.432018036637788,0.4585,0.6104560378594167
realistic,15,0.31592559981123536,0.4174146782149135,34.32505565690483,0.0,1.0,0.4174146782149135,0.42233333333333334,0.9404415335303803
realistic,15,0.31592559981123536,0.4174146782149135,34.32505565690483,1.0,3.0,0.7387438118900931,0.723,0.9340556231993948
realistic,15,0.31592559981123536,0.4174146782149135,34.32505565690483,2.0,5.0,0.1311507038551339,0.17633333333333334,0.8775038208004228
realistic,15,0.31592559981123536,0.4174146782149135,34.32505565690483,4.0,9.0,0.0014976023857364664,0.115,0.7723132362904088
realistic,15,0.31592559981123536,0.4174146782149135,34.32505565690483,8.0,17.0,0.34235360541358195,0.4048333333333333,0.603671697765968
realistic,16,0.37428506132810635,0.42682746322689874,29.400909386112794,0.0,1.0,0.42682746322689874,0.4265,1.0
realistic,16,0.37428506132810635,0.42682746322689874,29.400909386112794,1.0,3.0,0.7132491004004959,0.7018333333333333,0.9464674549823513
realistic,16,0.37428506132810635,0.42682746322689874,29.400909386112794,2.0,5.0,0.16494285801584968,0.20416666666666666,0.8829339723411345
realistic,16,0.37428506132810635,0.42682746322689874,29.400909386112794,4.0,9.0,0.015413354386705463,0.12983333333333333,0.7638812790603885
realistic,16,0.37428506132810635,0.42682746322689874,29.400909386112794,8.0,17.0,0.19949695254157834,0.3233333333333333,0.5879030783909462
realistic,17,0.4757847317323747,0.4437725109138226,32.490317917586154,0.0,1.0,0.4437725109138226,0.4465,0.9514918924799021
realistic,17,0.4757847317323747,0.4437725109138226,32.490317917586154,1.0,3.0,0.6658382284855462,0.6603333333333333,0.9668056321966039
realistic,17,0.4757847317323747,0.4437725109138226,32.490317917586154,2.0,5.0,0.2329398740706215,0.2723333333333333,0.8524921714702964
realistic,17,0.4757847317323747,0.4437725109138226,32.490317917586154,4.0,9.0,0.07546028575744754,0.17966666666666667,0.7545426790161667
realistic,17,0.4757847317323747,0.4437725109138226,32.490317917586154,8.0,17.0,0.02946070862339051,0.21783333333333332,0.5996665354792371
realistic,18,0.6183678709240283,0.46851294350291767,34.03522559639658,0.0,1.0,0.46851294350291767,0.4688333333333333,0.9898247131977755
realistic,18,0.6183678709240283,0.46851294350291767,34.03522559639658,1.0,3.0,0.5939616917111239,0.5941666666666666,1.0
realistic,18,0.6183678709240283,0.46851294350291767,34.03522559639658,2.0,5.0,0.34505418322132,0.36433333333333334,0.8755748911921183
realistic,18,0.6183678709240283,0.46851294350291767,34.03522559639658,4.0,9.0,0.23138802786924262,0.2986666666666667,0.7495322406379059
realistic,18,0.6183678709240283,0.46851294350291767,34.03522559639658,8.0,17.0,0.061095514923760974,0.22766666666666666,0.6204842798223587
realistic,19,0.7068845844318996,0.4842260928039805,36.003207135418876,0.0,1.0,0.4842260928039805,0.48233333333333334,nan
realistic,19,0.7068845844318996,0.4842260928039805,36.003207135418876,1.0,3.0,0.5472589247427594,0.5405,0.856980987621921
realistic,19,0.7068845844318996,0.4842260928039805,36.003207135418876,2.0,5.0,0.42144419824847307,0.43616666666666665,0.8125858550236563
realistic,19,0.7068845844318996,0.4842260928039805,36.003207135418876,4.0,9.0,0.35991199960457343,0.4013333333333333,0.7043191878544925
realistic,19,0.7068845844318996,0.4842260928039805,36.003207135418876,8.0,17.0,0.2444767485826206,0.3511666666666667,0.5824649322821289
realistic,20,0.7182098429333093,0.48624801724705435,46.538119369355044,0.0,1.0,0.48624801724705435,0.48333333333333334,nan
realistic,20,0.7182098429333093,0.48624801724705435,46.538119369355044,1.0,3.0,0.5412143365127569,0.535,0.8492190572852402
realistic,20,0.7182098429333093,0.48624801724705435,46.538119369355044,2.0,5.0,0.43144801905381813,0.445,0.8023108776853417
realistic,20,0.7182098429333093,0.48624801724705435,46.538119369355044,4.0,9.0,0.3774771114139981,0.4135,0.70599053775396
realistic,20,0.7182098429333093,0.48624801724705435,46.538119369355044,8.0,17.0,0.27461561474608037,0.3586666666666667,0.627076863262316
